lst,epoch,total_staked,daily_stake,daily_unstake,daily_net,tvl_sol
jito,728,14433742.6853491,-878230.921899776,193912.87093903,-684318.050960746,14435916.8954664
mSOL Liquid,728,5325206.21477889,-82480.593927889,386352.610596099,303872.01666821,5326144.25248786
mSOL Native,728,3090272.2531379,-52517.538401245,88681.70576504,36164.167363795,3099492.31516347
bSOL,728,1163521.34277298,-77069.288138696,35274.407576481,-41794.880562215,1163631.02136731
jSOL,728,954024.92279291,-127116.850753221,19068.918648268,-108047.932104953,954149.510269879
mrgnLST,728,225872.789797635,-7233.317980854,134.636156063,-7098.681824791,225874.889996673
stSOL,728,59009.211114043,-640.979217335,7.412592131,-633.566625204,59280.237568114
scnSOL,728,3.391453239,0.0,0.001356442,0.001356442,37.728992798
jito,727,15123472.4058847,-132964.737845063,226397.569374629,93432.831529566,15125333.8390029
mSOL Liquid,727,5049049.03858077,-157507.780366021,6225.993751575,-151281.786614446,5050105.06472478
mSOL Native,727,3137284.73138962,-28449.740333157,84821.105340444,56371.365007287,3148286.49518682
bSOL,727,1228132.85328418,-46249.610930434,26181.386707605,-20068.224222829,1228238.15056795
jSOL,727,1058949.67403816,-28262.213166888,56637.637270902,28375.424104014,1059062.12907205
mrgnLST,727,232971.472710816,-9.049922754,125.506457568,116.456534814,232999.112713377
stSOL,727,59642.777739247,-195.363672575,9.272099594,-186.091572981,59907.211585232
scnSOL,727,3.390096797,0.0,0.001351214,0.001351214,37.727431553
jito,726,15028619.4058192,-278201.153309263,704423.900807873,426222.74749861,15030652.0195639
mSOL Liquid,726,5293505.63405906,-359831.49934414,240556.54970808,-119274.94963606,5294009.29006164
mSOL Native,726,3183728.93687584,-57909.954780019,155397.401895613,97487.447115594,3194904.06535902
bSOL,726,1248292.35794378,-81623.488611906,77695.688527117,-3927.800084789,1248426.88630352
jSOL,726,1050284.94299726,-33494.673605572,116185.943886837,82691.270281265,1050424.4671721
mrgnLST,726,232855.018349665,0.0,265.671849802,265.671849802,232857.096593605
stSOL,726,59828.869312228,0.0,23.22930512,23.22930512,60078.833035193
scnSOL,726,3.388745583,0.0,0.001351597,0.001351597,37.725822813
jito,725,14596455.6479554,-547566.220226427,75912.081169347,-471654.13905708,14598504.8121916
mSOL Liquid,725,5445268.76188579,-162183.280307406,440907.884899188,278724.604591782,5446266.93280398
mSOL Native,725,3169659.9946386,-54046.434703877,81058.44410381,27012.009399933,3178842.98636362
bSOL,725,1252220.16017351,-100592.516279689,40236.171964829,-60356.34431486,1252360.62454556
jSOL,725,994438.72543999,-61579.10244361,33942.903200868,-27636.199242742,994575.502719957
mrgnLST,725,232589.347587379,0.0,75.050029141,75.050029141,232591.432403513
stSOL,725,59805.640007108,-1072.120130796,15.275567295,-1056.844563501,60048.883076671
scnSOL,725,3.387393986,0.0,0.001350366,0.001350366,37.724188279
jito,724,15068109.788216,-93663.557239703,566713.649904192,473050.092664489,15070333.5092219
mSOL Liquid,724,5203960.98412052,-357309.5797681,191136.194487751,-166173.385280349,5205054.14689059
mSOL Native,724,3251149.84411261,-33074.498602808,176842.750791051,143768.252188243,3262291.57561399
bSOL,724,1312576.50872034,-79890.856061298,70805.289039295,-9085.567022003,1312740.29519524
jSOL,724,1021313.52972988,-15593.35258158,93519.859913297,77926.507331717,1021449.36230364
mrgnLST,724,232514.29973272,-5865.116589366,7.291923985,-5857.824665381,232543.892459645
stSOL,724,60862.484570609,-206.14048199,3.784384351,-202.356097639,61098.34082385
scnSOL,724,3.38604362,0.0,0.001354633,0.001354633,37.722567314
jito,723,14595059.8090098,-100875.920044013,26848.873552111,-74027.046491902,14596963.1400257
mSOL Liquid,723,5387618.405463,-101440.232109718,106966.850870375,5526.618760657,5388580.04382347
mSOL Native,723,3168260.11570675,-20176.133197797,75687.295203523,55511.162005726,3177185.9932178
bSOL,723,1321662.33367461,-6621.078532198,11058.944722538,4437.86619034,1321782.81885836
jSOL,723,972283.1289306,-19676.002405595,13406.192711058,-6269.809694537,972402.041746839
mrgnLST,723,238372.281661755,-2613.617513474,6.271215082,-2607.346298392,238404.190291416
stSOL,723,61064.840668248,-209.865676452,9.897014212,-199.96866224,61292.892455289
scnSOL,723,3.384688987,0.0,0.001360804,0.001360804,37.720948387
jito,722,14669086.8587725,-13246.743112813,128860.353958245,115613.610845432,14670934.3455694
mSOL Liquid,722,5386670.08480507,-100598.475637191,75007.760571876,-25590.715065315,5387412.90365126
mSOL Native,722,3161112.59396709,-25678.871851467,72848.515447423,47169.643595956,3169809.56471698
bSOL,722,1317224.47180052,-25647.604166883,9245.786183661,-16401.817983222,1317362.10705362
jSOL,722,976320.57785777,-12354.883653695,20939.768556849,8584.884903154,976448.47100121
mrgnLST,722,240979.630131959,-39.880040634,87.070219334,47.1901787,241016.017333273
stSOL,722,61264.809330488,-42.548145533,14.68787145,-27.860274083,61487.51474455
scnSOL,722,3.383328183,0.0,0.001358871,0.001358871,37.719348024
jito,721,14553473.2521891,-12188.926332121,1128344.9643093,1116156.03797718,14554728.1409401
mSOL Liquid,721,5419477.10391362,-108729.277001153,146904.669689637,38175.392688484,5420230.93103089
mSOL Native,721,3191344.26492828,-14067.016278029,110141.465195358,96074.448917329,3199835.05895627
bSOL,721,1333626.29406097,-12447.549605954,11506.230890285,-941.318715669,1333728.16770722
jSOL,721,968088.07734256,-9367.609926422,15532.690005822,6165.0800794,968183.285223748
mrgnLST,721,240932.443210745,-97846.251810794,97.085260508,-97749.166550286,240952.878728461
stSOL,721,61292.669604571,-238.668290114,7.996613052,-230.671677062,61506.844979965
scnSOL,721,3.381969312,0.0,0.001357209,0.001357209,37.71770516
jito,720,13437317.2163912,-1627368.40265636,51112.82908461,-1576255.57357175,13438553.96211
mSOL Liquid,720,5382653.14151412,-78067.320910137,452658.820795768,374591.499885631,5383512.57743085
mSOL Native,720,3158972.49315389,-88959.458064456,157239.71445531,68280.256390854,3167393.11601833
bSOL,720,1334567.6119569,-91013.819400915,20401.665561936,-70612.153838979,1334650.72078433
jSOL,720,971000.48641912,-39706.102169759,32468.354789603,-7237.747380156,971086.156050842
mrgnLST,720,338681.6108403,0.0,135.728890408,135.728890408,338711.755144741
stSOL,720,61523.341281633,-66.036070674,19.684878091,-46.351192583,61732.777494242
scnSOL,720,3.380612103,0.0,0.001355968,0.001355968,37.716132096
jito,719,15013572.7899658,-19171.399613674,101007.707212491,81836.307598817,15014775.6467084
mSOL Liquid,719,5088163.52327784,-181720.170919951,109066.989666622,-72653.181253329,5088972.37602662
mSOL Native,719,3158447.57028909,-22493.09978828,121300.056318014,98806.956529734,3168669.97405996
bSOL,719,1405179.76567179,-27042.196453581,78266.667689041,51224.47123546,1405268.11785198
jSOL,719,980380.529614792,-13548.869475032,23423.054481634,9874.185006602,980465.872347644
